"","X2","X0.5","X0.5.1","X0.26"
"320",2,8,10,0.1
"321",2,8.5,0.5,1
"322",2,8.5,1,1
"323",2,8.5,1.5,1
"324",2,8.5,2,0.96
"325",2,8.5,2.5,0.88
"326",2,8.5,3,0.76
"327",2,8.5,3.5,0.8
"328",2,8.5,4,0.6
"329",2,8.5,4.5,0.36
"330",2,8.5,5,0.42
"331",2,8.5,5.5,0.36
"332",2,8.5,6,0.34
"333",2,8.5,6.5,0.26
"334",2,8.5,7,0.24
"335",2,8.5,7.5,0.24
"336",2,8.5,8,0.22
"337",2,8.5,8.5,0.16
"338",2,8.5,9,0.24
"339",2,8.5,9.5,0.2
"340",2,8.5,10,0.14
"341",2,9,0.5,1
"342",2,9,1,1
"343",2,9,1.5,1
"344",2,9,2,0.98
"345",2,9,2.5,0.98
"346",2,9,3,0.82
"347",2,9,3.5,0.72
"348",2,9,4,0.68
"349",2,9,4.5,0.5
"350",2,9,5,0.4
"351",2,9,5.5,0.48
"352",2,9,6,0.32
"353",2,9,6.5,0.32
"354",2,9,7,0.18
"355",2,9,7.5,0.12
"356",2,9,8,0.18
"357",2,9,8.5,0.22
"358",2,9,9,0.26
"359",2,9,9.5,0.16
"360",2,9,10,0.12
"361",2,9.5,0.5,1
"362",2,9.5,1,1
"363",2,9.5,1.5,1
"364",2,9.5,2,1
"365",2,9.5,2.5,0.96
"366",2,9.5,3,0.92
"367",2,9.5,3.5,0.78
"368",2,9.5,4,0.58
"369",2,9.5,4.5,0.64
"370",2,9.5,5,0.46
"371",2,9.5,5.5,0.46
"372",2,9.5,6,0.28
"373",2,9.5,6.5,0.34
"374",2,9.5,7,0.42
"375",2,9.5,7.5,0.24
"376",2,9.5,8,0.24
"377",2,9.5,8.5,0.32
"378",2,9.5,9,0.18
"379",2,9.5,9.5,0.22
"380",2,9.5,10,0.24
"381",2,10,0.5,1
"382",2,10,1,1
"383",2,10,1.5,1
"384",2,10,2,0.98
"385",2,10,2.5,0.94
"386",2,10,3,0.9
"387",2,10,3.5,0.82
"388",2,10,4,0.78
"389",2,10,4.5,0.64
"390",2,10,5,0.56
"391",2,10,5.5,0.5
"392",2,10,6,0.4
"393",2,10,6.5,0.36
"394",2,10,7,0.38
"395",2,10,7.5,0.3
"396",2,10,8,0.22
"397",2,10,8.5,0.18
"398",2,10,9,0.2
"399",2,10,9.5,0.18
"400",2,10,10,0.16
"401",3,0.5,0.5,0.32
"402",3,0.5,1,0.1
"403",3,0.5,1.5,0.04
"404",3,0.5,2,0.1
"405",3,0.5,2.5,0.02
"406",3,0.5,3,0.04
"407",3,0.5,3.5,0.02
"408",3,0.5,4,0.1
"409",3,0.5,4.5,0.1
"410",3,0.5,5,0.08
"411",3,0.5,5.5,0.02
"412",3,0.5,6,0.02
"413",3,0.5,6.5,0.06
"414",3,0.5,7,0.02
"415",3,0.5,7.5,0.04
"416",3,0.5,8,0.02
"417",3,0.5,8.5,0.04
"418",3,0.5,9,0.08
"419",3,0.5,9.5,0.04
"420",3,0.5,10,0.08
"421",3,1,0.5,0.9
"422",3,1,1,0.24
"423",3,1,1.5,0.14
"424",3,1,2,0.12
"425",3,1,2.5,0.14
"426",3,1,3,0.08
"427",3,1,3.5,0.1
"428",3,1,4,0.14
"429",3,1,4.5,0.08
"430",3,1,5,0.04
"431",3,1,5.5,0.02
"432",3,1,6,0.04
"433",3,1,6.5,0.06
"434",3,1,7,0.1
"435",3,1,7.5,0.1
"436",3,1,8,0.06
