"","X2","X0.5","X0.5.1","X0.96"
"342",2,9,1,0.92
"343",2,9,1.5,0.98
"344",2,9,2,0.98
"345",2,9,2.5,0.96
"346",2,9,3,0.98
"347",2,9,3.5,0.92
"348",2,9,4,1
"349",2,9,4.5,1
"350",2,9,5,0.96
"351",2,9,5.5,0.92
"352",2,9,6,0.88
"353",2,9,6.5,0.94
"354",2,9,7,0.94
"355",2,9,7.5,0.94
"356",2,9,8,0.9
"357",2,9,8.5,0.92
"358",2,9,9,0.92
"359",2,9,9.5,0.98
"360",2,9,10,0.96
"361",2,9.5,0.5,0.94
"362",2,9.5,1,0.98
"363",2,9.5,1.5,0.98
"364",2,9.5,2,0.96
"365",2,9.5,2.5,0.96
"366",2,9.5,3,0.94
"367",2,9.5,3.5,0.94
"368",2,9.5,4,0.98
"369",2,9.5,4.5,0.94
"370",2,9.5,5,0.98
"371",2,9.5,5.5,0.88
"372",2,9.5,6,0.98
"373",2,9.5,6.5,0.94
"374",2,9.5,7,1
"375",2,9.5,7.5,0.94
"376",2,9.5,8,0.96
"377",2,9.5,8.5,0.94
"378",2,9.5,9,0.9
"379",2,9.5,9.5,0.92
"380",2,9.5,10,0.96
"381",2,10,0.5,1
"382",2,10,1,0.98
"383",2,10,1.5,0.94
"384",2,10,2,1
"385",2,10,2.5,1
"386",2,10,3,0.98
"387",2,10,3.5,0.98
"388",2,10,4,0.98
"389",2,10,4.5,0.94
"390",2,10,5,0.96
"391",2,10,5.5,0.9
"392",2,10,6,0.96
"393",2,10,6.5,0.94
"394",2,10,7,0.98
"395",2,10,7.5,0.98
"396",2,10,8,0.96
"397",2,10,8.5,0.92
"398",2,10,9,0.98
"399",2,10,9.5,0.94
"400",2,10,10,0.96
"401",3,0.5,0.5,0.92
"402",3,0.5,1,1
"403",3,0.5,1.5,0.9
"404",3,0.5,2,0.9
"405",3,0.5,2.5,0.94
"406",3,0.5,3,0.96
"407",3,0.5,3.5,0.98
"408",3,0.5,4,0.98
"409",3,0.5,4.5,0.96
"410",3,0.5,5,0.94
"411",3,0.5,5.5,0.96
"412",3,0.5,6,1
"413",3,0.5,6.5,0.94
"414",3,0.5,7,1
"415",3,0.5,7.5,0.94
"416",3,0.5,8,0.9
"417",3,0.5,8.5,0.98
"418",3,0.5,9,0.94
"419",3,0.5,9.5,0.96
"420",3,0.5,10,0.9
"421",3,1,0.5,0.98
"422",3,1,1,0.96
"423",3,1,1.5,0.94
"424",3,1,2,0.98
"425",3,1,2.5,0.98
"426",3,1,3,0.92
"427",3,1,3.5,1
"428",3,1,4,0.96
"429",3,1,4.5,0.9
"430",3,1,5,0.96
"431",3,1,5.5,0.98
"432",3,1,6,0.96
"433",3,1,6.5,1
"434",3,1,7,0.94
"435",3,1,7.5,0.9
"436",3,1,8,0.92
"437",3,1,8.5,0.94
"438",3,1,9,0.96
"439",3,1,9.5,0.94
"440",3,1,10,0.96
"441",3,1.5,0.5,0.92
"442",3,1.5,1,0.94
"443",3,1.5,1.5,0.98
"444",3,1.5,2,0.98
"445",3,1.5,2.5,0.96
"446",3,1.5,3,0.98
"447",3,1.5,3.5,0.96
"448",3,1.5,4,0.98
"449",3,1.5,4.5,0.94
"450",3,1.5,5,0.98
"451",3,1.5,5.5,0.94
"452",3,1.5,6,0.98
"453",3,1.5,6.5,1
"454",3,1.5,7,0.98
"455",3,1.5,7.5,0.98
"456",3,1.5,8,0.94
"457",3,1.5,8.5,0.98
"458",3,1.5,9,0.98
"459",3,1.5,9.5,0.96
"460",3,1.5,10,0.92
"461",3,2,0.5,0.94
"462",3,2,1,0.96
"463",3,2,1.5,0.94
"464",3,2,2,0.92
"465",3,2,2.5,0.92
"466",3,2,3,0.94
"467",3,2,3.5,0.92
"468",3,2,4,0.94
"469",3,2,4.5,0.92
"470",3,2,5,0.96
"471",3,2,5.5,0.96
"472",3,2,6,0.98
"473",3,2,6.5,0.98
"474",3,2,7,1
"475",3,2,7.5,0.92
"476",3,2,8,0.88
"477",3,2,8.5,0.96
"478",3,2,9,0.96
"479",3,2,9.5,0.98
"480",3,2,10,0.98
"481",3,2.5,0.5,0.94
"482",3,2.5,1,0.88
"483",3,2.5,1.5,0.98
"484",3,2.5,2,0.98
"485",3,2.5,2.5,0.96
"486",3,2.5,3,0.96
"487",3,2.5,3.5,0.94
"488",3,2.5,4,0.96
"489",3,2.5,4.5,0.96
"490",3,2.5,5,0.94
"491",3,2.5,5.5,0.96
"492",3,2.5,6,0.94
"493",3,2.5,6.5,0.96
"494",3,2.5,7,0.94
"495",3,2.5,7.5,0.92
"496",3,2.5,8,0.92
"497",3,2.5,8.5,0.9
"498",3,2.5,9,0.92
"499",3,2.5,9.5,0.92
"500",3,2.5,10,0.94
"501",3,3,0.5,0.94
"502",3,3,1,0.96
"503",3,3,1.5,0.92
"504",3,3,2,0.86
"505",3,3,2.5,0.94
"506",3,3,3,1
"507",3,3,3.5,0.94
"508",3,3,4,0.98
"509",3,3,4.5,0.9
"510",3,3,5,0.98
"511",3,3,5.5,0.98
"512",3,3,6,0.92
"513",3,3,6.5,0.9
"514",3,3,7,0.94
"515",3,3,7.5,0.96
"516",3,3,8,0.98
"517",3,3,8.5,0.98
"518",3,3,9,0.98
"519",3,3,9.5,0.94
"520",3,3,10,0.96
"521",3,3.5,0.5,0.94
"522",3,3.5,1,0.94
"523",3,3.5,1.5,0.92
"524",3,3.5,2,0.88
"525",3,3.5,2.5,0.88
"526",3,3.5,3,0.92
"527",3,3.5,3.5,0.96
"528",3,3.5,4,0.92
"529",3,3.5,4.5,0.98
"530",3,3.5,5,0.96
"531",3,3.5,5.5,0.92
"532",3,3.5,6,0.98
"533",3,3.5,6.5,0.98
"534",3,3.5,7,0.98
"535",3,3.5,7.5,0.94
"536",3,3.5,8,0.96
