"","X2","X0.5","X0.5.1","X0.92"
"318",2,8,9,0.1
"319",2,8,9.5,0.08
"320",2,8,10,0.0600000000000001
"321",2,8.5,0.5,0.78
"322",2,8.5,1,0.44
"323",2,8.5,1.5,0.26
"324",2,8.5,2,0.24
"325",2,8.5,2.5,0.16
"326",2,8.5,3,0.14
"327",2,8.5,3.5,0.14
"328",2,8.5,4,0.16
"329",2,8.5,4.5,0.0600000000000001
"330",2,8.5,5,0.08
"331",2,8.5,5.5,0.1
"332",2,8.5,6,0.08
"333",2,8.5,6.5,0.12
"334",2,8.5,7,0
"335",2,8.5,7.5,0.0600000000000001
"336",2,8.5,8,0.08
"337",2,8.5,8.5,0.08
"338",2,8.5,9,0.04
"339",2,8.5,9.5,0.08
"340",2,8.5,10,0.08
"341",2,9,0.5,0.86
"342",2,9,1,0.52
"343",2,9,1.5,0.34
"344",2,9,2,0.34
"345",2,9,2.5,0.16
"346",2,9,3,0.22
"347",2,9,3.5,0.2
"348",2,9,4,0.08
"349",2,9,4.5,0.18
"350",2,9,5,0.08
"351",2,9,5.5,0.08
"352",2,9,6,0.0600000000000001
"353",2,9,6.5,0.12
"354",2,9,7,0.0600000000000001
"355",2,9,7.5,0.08
"356",2,9,8,0.08
"357",2,9,8.5,0.08
"358",2,9,9,0.08
"359",2,9,9.5,0.1
"360",2,9,10,0.08
"361",2,9.5,0.5,0.84
"362",2,9.5,1,0.66
"363",2,9.5,1.5,0.46
"364",2,9.5,2,0.28
"365",2,9.5,2.5,0.3
"366",2,9.5,3,0.2
"367",2,9.5,3.5,0.2
"368",2,9.5,4,0.14
"369",2,9.5,4.5,0.14
"370",2,9.5,5,0.2
"371",2,9.5,5.5,0.08
"372",2,9.5,6,0.12
"373",2,9.5,6.5,0.08
"374",2,9.5,7,0.0600000000000001
"375",2,9.5,7.5,0.1
"376",2,9.5,8,0.1
"377",2,9.5,8.5,0.08
"378",2,9.5,9,0.08
"379",2,9.5,9.5,0
"380",2,9.5,10,0.1
"381",2,10,0.5,0.76
"382",2,10,1,0.5
"383",2,10,1.5,0.4
"384",2,10,2,0.36
"385",2,10,2.5,0.36
"386",2,10,3,0.08
"387",2,10,3.5,0.18
"388",2,10,4,0.12
"389",2,10,4.5,0.12
"390",2,10,5,0.14
"391",2,10,5.5,0.14
"392",2,10,6,0.0600000000000001
"393",2,10,6.5,0.2
"394",2,10,7,0.12
"395",2,10,7.5,0.08
"396",2,10,8,0.18
"397",2,10,8.5,0.04
"398",2,10,9,0.1
"399",2,10,9.5,0.1
"400",2,10,10,0.18
"401",3,0.5,0.5,0.12
"402",3,0.5,1,0.0600000000000001
"403",3,0.5,1.5,0.08
"404",3,0.5,2,0.04
"405",3,0.5,2.5,0
"406",3,0.5,3,0.0600000000000001
"407",3,0.5,3.5,0.04
"408",3,0.5,4,0.04
"409",3,0.5,4.5,0.02
"410",3,0.5,5,0.04
"411",3,0.5,5.5,0.0600000000000001
"412",3,0.5,6,0.14
"413",3,0.5,6.5,0.04
"414",3,0.5,7,0.12
"415",3,0.5,7.5,0.08
"416",3,0.5,8,0.0600000000000001
"417",3,0.5,8.5,0.0600000000000001
"418",3,0.5,9,0.0600000000000001
"419",3,0.5,9.5,0
"420",3,0.5,10,0.02
"421",3,1,0.5,0.24
"422",3,1,1,0.04
"423",3,1,1.5,0.08
"424",3,1,2,0.04
"425",3,1,2.5,0
"426",3,1,3,0.04
"427",3,1,3.5,0.04
"428",3,1,4,0.0600000000000001
"429",3,1,4.5,0.1
"430",3,1,5,0.02
"431",3,1,5.5,0.08
"432",3,1,6,0.0600000000000001
"433",3,1,6.5,0.0600000000000001
"434",3,1,7,0.0600000000000001
"435",3,1,7.5,0.04
"436",3,1,8,0.0600000000000001
"437",3,1,8.5,0.04
"438",3,1,9,0.1
"439",3,1,9.5,0.04
"440",3,1,10,0.08
"441",3,1.5,0.5,0.54
"442",3,1.5,1,0.18
"443",3,1.5,1.5,0.16
"444",3,1.5,2,0.0600000000000001
"445",3,1.5,2.5,0.08
"446",3,1.5,3,0.08
"447",3,1.5,3.5,0.0600000000000001
"448",3,1.5,4,0.14
"449",3,1.5,4.5,0.12
"450",3,1.5,5,0.12
"451",3,1.5,5.5,0.08
"452",3,1.5,6,0.04
"453",3,1.5,6.5,0.12
"454",3,1.5,7,0.1
"455",3,1.5,7.5,0.08
"456",3,1.5,8,0.04
"457",3,1.5,8.5,0
"458",3,1.5,9,0.02
"459",3,1.5,9.5,0.08
"460",3,1.5,10,0.12
"461",3,2,0.5,0.68
"462",3,2,1,0.3
"463",3,2,1.5,0.14
"464",3,2,2,0.08
"465",3,2,2.5,0.12
"466",3,2,3,0.0600000000000001
"467",3,2,3.5,0.08
"468",3,2,4,0.02
"469",3,2,4.5,0.0600000000000001
"470",3,2,5,0.1
"471",3,2,5.5,0.02
"472",3,2,6,0.02
"473",3,2,6.5,0.0600000000000001
"474",3,2,7,0.0600000000000001
"475",3,2,7.5,0.1
"476",3,2,8,0.04
"477",3,2,8.5,0.02
"478",3,2,9,0.14
"479",3,2,9.5,0.02
"480",3,2,10,0.04
"481",3,2.5,0.5,0.86
"482",3,2.5,1,0.48
"483",3,2.5,1.5,0.3
"484",3,2.5,2,0.16
"485",3,2.5,2.5,0.14
"486",3,2.5,3,0.22
"487",3,2.5,3.5,0.1
"488",3,2.5,4,0.04
"489",3,2.5,4.5,0.12
"490",3,2.5,5,0.02
"491",3,2.5,5.5,0.02
"492",3,2.5,6,0.08
"493",3,2.5,6.5,0.08
"494",3,2.5,7,0.08
"495",3,2.5,7.5,0.04
"496",3,2.5,8,0.0600000000000001
"497",3,2.5,8.5,0.08
"498",3,2.5,9,0.08
"499",3,2.5,9.5,0.08
"500",3,2.5,10,0.02
"501",3,3,0.5,0.9
"502",3,3,1,0.58
"503",3,3,1.5,0.28
"504",3,3,2,0.18
"505",3,3,2.5,0.16
"506",3,3,3,0.16
"507",3,3,3.5,0.1
"508",3,3,4,0.16
"509",3,3,4.5,0.0600000000000001
"510",3,3,5,0
"511",3,3,5.5,0.02
"512",3,3,6,0.08
"513",3,3,6.5,0.1
"514",3,3,7,0.08
"515",3,3,7.5,0.04
"516",3,3,8,0.0600000000000001
"517",3,3,8.5,0.0600000000000001
"518",3,3,9,0.0600000000000001
"519",3,3,9.5,0.04
"520",3,3,10,0.08
"521",3,3.5,0.5,0.96
"522",3,3.5,1,0.64
"523",3,3.5,1.5,0.38
"524",3,3.5,2,0.24
"525",3,3.5,2.5,0.12
"526",3,3.5,3,0.16
"527",3,3.5,3.5,0.1
"528",3,3.5,4,0.12
"529",3,3.5,4.5,0.08
"530",3,3.5,5,0
"531",3,3.5,5.5,0.0600000000000001
"532",3,3.5,6,0.12
"533",3,3.5,6.5,0.0600000000000001
"534",3,3.5,7,0.12
"535",3,3.5,7.5,0.02
"536",3,3.5,8,0.0600000000000001
"537",3,3.5,8.5,0.02
"538",3,3.5,9,0.04
"539",3,3.5,9.5,0.0600000000000001
"540",3,3.5,10,0.0600000000000001
"541",3,4,0.5,0.98
"542",3,4,1,0.7
"543",3,4,1.5,0.32
"544",3,4,2,0.34
"545",3,4,2.5,0.1
"546",3,4,3,0.12
"547",3,4,3.5,0.1
"548",3,4,4,0.04
"549",3,4,4.5,0.1
"550",3,4,5,0.0600000000000001
"551",3,4,5.5,0.04
"552",3,4,6,0.08
"553",3,4,6.5,0.1
"554",3,4,7,0.1
"555",3,4,7.5,0.02
"556",3,4,8,0.1
"557",3,4,8.5,0.02
"558",3,4,9,0.04
"559",3,4,9.5,0.0600000000000001
"560",3,4,10,0.1
"561",3,4.5,0.5,1
"562",3,4.5,1,0.8
"563",3,4.5,1.5,0.62
"564",3,4.5,2,0.3
"565",3,4.5,2.5,0.2
"566",3,4.5,3,0.24
"567",3,4.5,3.5,0.1
"568",3,4.5,4,0.12
"569",3,4.5,4.5,0.0600000000000001
"570",3,4.5,5,0.14
"571",3,4.5,5.5,0.1
"572",3,4.5,6,0.14
"573",3,4.5,6.5,0.04
"574",3,4.5,7,0.0600000000000001
"575",3,4.5,7.5,0.08
"576",3,4.5,8,0.08
"577",3,4.5,8.5,0.14
"578",3,4.5,9,0.0600000000000001
"579",3,4.5,9.5,0.02
"580",3,4.5,10,0.0600000000000001
"581",3,5,0.5,1
"582",3,5,1,0.94
"583",3,5,1.5,0.62
"584",3,5,2,0.38
"585",3,5,2.5,0.36
"586",3,5,3,0.22
"587",3,5,3.5,0.16
"588",3,5,4,0.14
"589",3,5,4.5,0.18
"590",3,5,5,0.04
"591",3,5,5.5,0.22
"592",3,5,6,0.1
"593",3,5,6.5,0.12
"594",3,5,7,0.04
"595",3,5,7.5,0.1
"596",3,5,8,0.08
"597",3,5,8.5,0.08
"598",3,5,9,0.1
"599",3,5,9.5,0.0600000000000001
"600",3,5,10,0.0600000000000001
"601",3,5.5,0.5,1
"602",3,5.5,1,0.9
"603",3,5.5,1.5,0.72
"604",3,5.5,2,0.48
"605",3,5.5,2.5,0.48
"606",3,5.5,3,0.26
"607",3,5.5,3.5,0.24
"608",3,5.5,4,0.14
"609",3,5.5,4.5,0.18
"610",3,5.5,5,0.1
"611",3,5.5,5.5,0.12
"612",3,5.5,6,0.1
"613",3,5.5,6.5,0.1
"614",3,5.5,7,0.14
"615",3,5.5,7.5,0.08
"616",3,5.5,8,0.18
"617",3,5.5,8.5,0.04
"618",3,5.5,9,0.1
"619",3,5.5,9.5,0.08
"620",3,5.5,10,0.1
"621",3,6,0.5,1
"622",3,6,1,0.9
"623",3,6,1.5,0.6
"624",3,6,2,0.48
"625",3,6,2.5,0.42
"626",3,6,3,0.3
"627",3,6,3.5,0.18
"628",3,6,4,0.14
"629",3,6,4.5,0.22
"630",3,6,5,0.16
"631",3,6,5.5,0.12
"632",3,6,6,0.1
"633",3,6,6.5,0.14
"634",3,6,7,0.08
"635",3,6,7.5,0.0600000000000001
"636",3,6,8,0.08
"637",3,6,8.5,0.04
"638",3,6,9,0.12
"639",3,6,9.5,0.0600000000000001
"640",3,6,10,0.08
"641",3,6.5,0.5,1
"642",3,6.5,1,0.96
"643",3,6.5,1.5,0.8
"644",3,6.5,2,0.5
"645",3,6.5,2.5,0.34
"646",3,6.5,3,0.32
"647",3,6.5,3.5,0.24
"648",3,6.5,4,0.24
"649",3,6.5,4.5,0.12
"650",3,6.5,5,0.2
"651",3,6.5,5.5,0.08
"652",3,6.5,6,0.16
"653",3,6.5,6.5,0.0600000000000001
"654",3,6.5,7,0.16
"655",3,6.5,7.5,0.04
"656",3,6.5,8,0.1
"657",3,6.5,8.5,0.12
"658",3,6.5,9,0.1
"659",3,6.5,9.5,0.1
"660",3,6.5,10,0.0600000000000001
"661",3,7,0.5,1
"662",3,7,1,0.96
"663",3,7,1.5,0.78
"664",3,7,2,0.68
"665",3,7,2.5,0.34
"666",3,7,3,0.36
"667",3,7,3.5,0.22
"668",3,7,4,0.26
"669",3,7,4.5,0.14
"670",3,7,5,0.22
"671",3,7,5.5,0.22
"672",3,7,6,0.14
"673",3,7,6.5,0.18
"674",3,7,7,0.0600000000000001
"675",3,7,7.5,0.0600000000000001
"676",3,7,8,0.16
"677",3,7,8.5,0.04
"678",3,7,9,0.12
"679",3,7,9.5,0.1
"680",3,7,10,0.0600000000000001
"681",3,7.5,0.5,1
"682",3,7.5,1,1
"683",3,7.5,1.5,0.8
"684",3,7.5,2,0.7
"685",3,7.5,2.5,0.48
"686",3,7.5,3,0.42
"687",3,7.5,3.5,0.34
"688",3,7.5,4,0.22
"689",3,7.5,4.5,0.24
"690",3,7.5,5,0.22
"691",3,7.5,5.5,0.26
"692",3,7.5,6,0.16
"693",3,7.5,6.5,0.2
"694",3,7.5,7,0.18
"695",3,7.5,7.5,0.1
"696",3,7.5,8,0.16
"697",3,7.5,8.5,0.08
"698",3,7.5,9,0.08
"699",3,7.5,9.5,0.18
"700",3,7.5,10,0.02
"701",3,8,0.5,1
"702",3,8,1,1
"703",3,8,1.5,0.96
"704",3,8,2,0.72
"705",3,8,2.5,0.58
"706",3,8,3,0.42
"707",3,8,3.5,0.42
"708",3,8,4,0.32
"709",3,8,4.5,0.22
"710",3,8,5,0.26
"711",3,8,5.5,0.18
"712",3,8,6,0.16
"713",3,8,6.5,0.14
"714",3,8,7,0.0600000000000001
"715",3,8,7.5,0.16
"716",3,8,8,0.12
"717",3,8,8.5,0.1
"718",3,8,9,0.12
"719",3,8,9.5,0.12
"720",3,8,10,0.14
"721",3,8.5,0.5,1
"722",3,8.5,1,1
"723",3,8.5,1.5,0.96
"724",3,8.5,2,0.7
"725",3,8.5,2.5,0.62
"726",3,8.5,3,0.44
"727",3,8.5,3.5,0.36
"728",3,8.5,4,0.3
"729",3,8.5,4.5,0.22
"730",3,8.5,5,0.26
"731",3,8.5,5.5,0.36
"732",3,8.5,6,0.2
"733",3,8.5,6.5,0.18
"734",3,8.5,7,0.2
"735",3,8.5,7.5,0.1
"736",3,8.5,8,0.1
"737",3,8.5,8.5,0.12
"738",3,8.5,9,0.12
"739",3,8.5,9.5,0.2
"740",3,8.5,10,0.1
"741",3,9,0.5,1
"742",3,9,1,1
"743",3,9,1.5,0.86
"744",3,9,2,0.74
"745",3,9,2.5,0.54
"746",3,9,3,0.62
"747",3,9,3.5,0.42
"748",3,9,4,0.46
"749",3,9,4.5,0.18
"750",3,9,5,0.22
"751",3,9,5.5,0.2
"752",3,9,6,0.2
"753",3,9,6.5,0.14
"754",3,9,7,0.12
"755",3,9,7.5,0.04
"756",3,9,8,0.1
"757",3,9,8.5,0.1
"758",3,9,9,0.18
"759",3,9,9.5,0.2
"760",3,9,10,0.14
"761",3,9.5,0.5,1
"762",3,9.5,1,1
"763",3,9.5,1.5,0.96
"764",3,9.5,2,0.82
"765",3,9.5,2.5,0.76
"766",3,9.5,3,0.5
"767",3,9.5,3.5,0.58
"768",3,9.5,4,0.36
"769",3,9.5,4.5,0.38
"770",3,9.5,5,0.24
"771",3,9.5,5.5,0.26
"772",3,9.5,6,0.28
"773",3,9.5,6.5,0.2
"774",3,9.5,7,0.1
"775",3,9.5,7.5,0.14
"776",3,9.5,8,0.22
"777",3,9.5,8.5,0.12
"778",3,9.5,9,0.16
"779",3,9.5,9.5,0.1
"780",3,9.5,10,0.16
"781",3,10,0.5,1
"782",3,10,1,1
"783",3,10,1.5,0.94
"784",3,10,2,0.82
"785",3,10,2.5,0.76
"786",3,10,3,0.48
"787",3,10,3.5,0.44
"788",3,10,4,0.56
"789",3,10,4.5,0.32
"790",3,10,5,0.44
"791",3,10,5.5,0.28
"792",3,10,6,0.2
"793",3,10,6.5,0.2
"794",3,10,7,0.18
"795",3,10,7.5,0.16
"796",3,10,8,0.1
"797",3,10,8.5,0.08
"798",3,10,9,0.12
"799",3,10,9.5,0.12
"800",3,10,10,0.12
"801",4,0.5,0.5,0.22
"802",4,0.5,1,0.0600000000000001
"803",4,0.5,1.5,0.04
"804",4,0.5,2,0.02
"805",4,0.5,2.5,0.02
"806",4,0.5,3,0.0600000000000001
"807",4,0.5,3.5,0.0600000000000001
"808",4,0.5,4,0.08
"809",4,0.5,4.5,0.04
"810",4,0.5,5,0.02
"811",4,0.5,5.5,0.02
"812",4,0.5,6,0.1
"813",4,0.5,6.5,0.04
"814",4,0.5,7,0.04
"815",4,0.5,7.5,0.08
"816",4,0.5,8,0.0600000000000001
"817",4,0.5,8.5,0.02
"818",4,0.5,9,0
"819",4,0.5,9.5,0.0600000000000001
"820",4,0.5,10,0.04
"821",4,1,0.5,0.5
"822",4,1,1,0.22
"823",4,1,1.5,0.1
"824",4,1,2,0.1
"825",4,1,2.5,0.04
"826",4,1,3,0.0600000000000001
"827",4,1,3.5,0.02
"828",4,1,4,0.04
"829",4,1,4.5,0.08
"830",4,1,5,0.04
"831",4,1,5.5,0.0600000000000001
"832",4,1,6,0
"833",4,1,6.5,0.02
"834",4,1,7,0.04
"835",4,1,7.5,0.08
"836",4,1,8,0.02
"837",4,1,8.5,0.0600000000000001
"838",4,1,9,0.04
"839",4,1,9.5,0.02
"840",4,1,10,0
"841",4,1.5,0.5,0.92
"842",4,1.5,1,0.34
"843",4,1.5,1.5,0.14
"844",4,1.5,2,0.1
"845",4,1.5,2.5,0.04
"846",4,1.5,3,0.0600000000000001
"847",4,1.5,3.5,0.12
"848",4,1.5,4,0.1
"849",4,1.5,4.5,0.08
"850",4,1.5,5,0.02
"851",4,1.5,5.5,0.08
"852",4,1.5,6,0.0600000000000001
"853",4,1.5,6.5,0.08
"854",4,1.5,7,0.08
"855",4,1.5,7.5,0.0600000000000001
"856",4,1.5,8,0.16
"857",4,1.5,8.5,0.08
"858",4,1.5,9,0.04
"859",4,1.5,9.5,0.04
"860",4,1.5,10,0.04
"861",4,2,0.5,0.94
"862",4,2,1,0.6
"863",4,2,1.5,0.18
"864",4,2,2,0.18
"865",4,2,2.5,0.26
"866",4,2,3,0.12
"867",4,2,3.5,0.1
"868",4,2,4,0.08
"869",4,2,4.5,0.0600000000000001
"870",4,2,5,0
"871",4,2,5.5,0.02
"872",4,2,6,0.1
"873",4,2,6.5,0.1
"874",4,2,7,0
"875",4,2,7.5,0.04
"876",4,2,8,0.02
"877",4,2,8.5,0.12
"878",4,2,9,0.08
"879",4,2,9.5,0.04
"880",4,2,10,0.04
"881",4,2.5,0.5,1
"882",4,2.5,1,0.68
"883",4,2.5,1.5,0.22
"884",4,2.5,2,0.28
"885",4,2.5,2.5,0.24
"886",4,2.5,3,0.18
"887",4,2.5,3.5,0.1
"888",4,2.5,4,0.14
"889",4,2.5,4.5,0.12
"890",4,2.5,5,0.02
"891",4,2.5,5.5,0.0600000000000001
"892",4,2.5,6,0.04
"893",4,2.5,6.5,0.0600000000000001
"894",4,2.5,7,0.08
"895",4,2.5,7.5,0.02
